Ref,Val,Package,PosX,PosY,Rot,Side
"BUS_Expansion1","my_components_MSX_SLOT_HOST","DaewooBackSlotConnector",105.830000,-91.384749,0.000000,top
"C1","1uF 25v","C_1210_3225Metric",152.489999,-71.695181,90.000000,top
"C2","1uF 25v","C_1210_3225Metric",137.114999,-71.695181,90.000000,top
"C3","2.2uF25v","C_1210_3225Metric",169.900000,-85.200000,0.000000,top
"C4","2.2uF25v","C_1210_3225Metric",168.200000,-110.950000,180.000000,top
"C6","100uF 16V","CP_Radial_D5.0mm_P2.00mm",112.500000,-66.600000,180.000000,top
"C8","22pF","C_0805_2012Metric",164.800000,-80.449999,-90.000000,top
"C9","22pF","C_0805_2012Metric",164.800000,-94.300000,90.000000,top
"C11","47uF 16v","CP_Radial_D5.0mm_P2.00mm",180.400000,-83.700000,180.000000,top
"C12","47uF 16v","CP_Radial_D5.0mm_P2.00mm",180.400000,-91.300000,180.000000,top
"C14","2.2uF25v","C_1210_3225Metric",169.900000,-89.500000,0.000000,top
"C19","2.2uF25v","C_1210_3225Metric",168.200000,-120.250000,180.000000,top
"IC1","YM2413","DIP-18_W7.62mm_LongPads",148.480000,-78.599148,0.000000,top
"IC2","74LS30D","SO-14_3.9x8.65mm_P1.27mm",137.825000,-87.310000,0.000000,top
"IC3","74LS04D","SO-14_3.9x8.65mm_P1.27mm",137.825000,-102.690000,0.000000,top
"IC4","LM4558N","SOIC-8_3.9x4.9mm_P1.27mm",178.725000,-100.905000,0.000000,top
"IC5","LM4558N","SOIC-8_3.9x4.9mm_P1.27mm",165.225000,-100.905000,0.000000,top
"IC6","27C512","DIP-28_W15.24mm",113.660000,-78.609148,0.000000,top
"R1","170k","R_0805_2012Metric",184.000000,-100.062500,90.000000,top
"R3","170k","R_0805_2012Metric",173.500000,-100.112500,90.000000,top
"R4","4.7k","R_0805_2012Metric",163.112500,-110.950000,0.000000,top
"R5","2.2k","R_0805_2012Metric",160.600000,-85.900000,0.000000,top
"R6","2.2k","R_0805_2012Metric",160.600000,-92.300000,-90.000000,top
"R7","2.2k","R_0805_2012Metric",160.600000,-82.600000,90.000000,top
"R8","2.2k","R_0805_2012Metric",160.600000,-88.900000,0.000000,top
"R9","22k","R_0805_2012Metric",164.800000,-88.900000,0.000000,top
"R10","22k","R_0805_2012Metric",164.800000,-85.900000,0.000000,top
"R11","68","R_0805_2012Metric",131.300000,-71.750000,90.000000,top
"R14","1k","R_0805_2012Metric",178.747500,-106.790000,0.000000,top
"R15","1k","R_0805_2012Metric",165.210000,-106.790000,0.000000,top
"R16","170k","R_0805_2012Metric",160.200000,-100.100000,90.000000,top
"R18","170k","R_0805_2012Metric",170.400000,-100.112500,90.000000,top
"R19","4.7k","R_0805_2012Metric",163.000000,-120.250000,0.000000,top
"VREG1","78L05","TO-92",144.442500,-70.430000,-90.000000,top
